emp_code,first_name,middle_name,last_name,address,role,manager,login,user_role,password,email,biz_zone,,,,,
Md.Mahmudur Rahman,Md.Mahmudur Rahman,,,,TSO-A,Md. Nurul Huda,Direct Party[Terr](A),Territory,12345,Direct Party[Terr](A)@test.com,Direct Party[Terr](A),,,,,
Azam Khan,Azam Khan,,,,TSO-A,Mr. Biton Gosh,Chowmohoni[Terr](A),Territory,12345,Chowmohoni[Terr](A)@test.com,Chowmohoni[Terr](A),,,,,
blank(Senbag[Terr](A)),blank(Senbag[Terr](A)),,,,Blank,Mr. Biton Gosh,Senbag[Terr](A),Territory,12345,Senbag[Terr](A)@test.com,Senbag[Terr](A),,,,,
Abdul Karim,Abdul Karim,,,,TM-A,Mr. Biton Gosh,Maijdee[Terr](A),Territory,12345,Maijdee[Terr](A)@test.com,Maijdee[Terr](A),,,,,
Maksudur Rahman(Laxmipur[Terr](A)),Maksudur Rahman(Laxmipur[Terr](A)),,,,TM-A,Mr. Biton Gosh,Laxmipur[Terr](A),Territory,12345,Laxmipur[Terr](A)@test.com,Laxmipur[Terr](A),,,,,
Hafizur Rahman(Raypur[Terr](A)),Hafizur Rahman,,,,TSO-A,Mr. Biton Gosh,Raypur[Terr](A),Territory,12345,Raypur[Terr](A)@test.com,Raypur[Terr](A),,,,,
Nasiruddin(Sonaimuri[Terr](A)),Nasiruddin(Sonaimuri[Terr](A)),,,,TSO-A,Mr. Biton Gosh,Sonaimuri[Terr](A),Territory,12345,Sonaimuri[Terr](A)@test.com,Sonaimuri[Terr](A),,,,,
Jasim Uddim,Jasim Uddim,,,,TM-A,Mr. Murad Hossain,Feni[Terr](A),Territory,12345,Feni[Terr](A)@test.com,Feni[Terr](A),,,,,
Amirul Islam,Amirul Islam,,,,TM-A,Mr. Murad Hossain,Baroiarhat[Terr](A),Territory,12345,Baroiarhat[Terr](A)@test.com,Baroiarhat[Terr](A),,,,,
blank(Dagon Bhuiyan[Terr](A)),blank(Dagon Bhuiyan[Terr](A)),,,,Blank,Mr. Murad Hossain,Dagon Bhuiyan[Terr](A),Territory,12345,Dagon Bhuiyan[Terr](A)@test.com,Dagon Bhuiyan[Terr](A),,,,,
Farukul Islam,Farukul Islam,,,,ZSO-A, Elyas Bhuiyan,Comilla[Terr](A),Territory,12345,Comilla[Terr](A)@test.com,Comilla[Terr](A),,,,,
Arifur Rahman,Arifur Rahman,,,,TM-A, Elyas Bhuiyan,Choddogram[Terr](A),Territory,12345,Choddogram[Terr](A)@test.com,Choddogram[Terr](A),,,,,
Emdadul Haque,Emdadul Haque,,,,TSO-A, Elyas Bhuiyan,Laksham[Terr](A),Territory,12345,Laksham[Terr](A)@test.com,Laksham[Terr](A),,,,,
Shofiqul Islam,Shofiqul Islam,,,,ZSO-A, Elyas Bhuiyan,Chandina [Terr](A),Territory,12345,Chandina [Terr](A)@test.com,Chandina [Terr](A),,,,,
Saleh Ahmed,Saleh Ahmed,,,,TSO-A,Mr. Kamruzzaman,Chandpur[Terr](A),Territory,12345,Chandpur[Terr](A)@test.com,Chandpur[Terr](A),,,,,
blank(Faridgonj[Terr](A)),blank(Faridgonj[Terr](A)),,,,Blank,Mr. Kamruzzaman,Faridgonj[Terr](A),Territory,12345,Faridgonj[Terr](A)@test.com,Faridgonj[Terr](A),,,,,
Monirul Islam,Monirul Islam,,,,TSO-A,Mr. Kamruzzaman,Hazigonj[Terr](A),Territory,12345,Hazigonj[Terr](A)@test.com,Hazigonj[Terr](A),,,,,
Shafiuddin Chowdhury,Shafiuddin Chowdhury,,,,TM-A, Hayatun Nobi Majumder,B. Baria[Terr](A),Territory,12345,B. Baria[Terr](A)@test.com,B. Baria[Terr](A),,,,,
blank(Companygonj[Terr](A)),blank(Companygonj[Terr](A)),,,,Blank, Hayatun Nobi Majumder,Companygonj[Terr](A),Territory,12345,Companygonj[Terr](A)@test.com,Companygonj[Terr](A),,,,,
Khorshed Alam,Khorshed Alam,,,,ZSO-A, Hayatun Nobi Majumder,Nobinagar[Terr](A),Territory,12345,Nobinagar[Terr](A)@test.com,Nobinagar[Terr](A),,,,,
Farid Uddin,Farid Uddin,,,,ZSO-A, Hayatun Nobi Majumder,Kosba[Terr](A),Territory,12345,Kosba[Terr](A)@test.com,Kosba[Terr](A),,,,,
Humayan Kabir,Humayan Kabir,,,,TSO-A, Hayatun Nobi Majumder,Sorail[Terr](A),Territory,12345,Sorail[Terr](A)@test.com,Sorail[Terr](A),,,,,
blank(Sylhet Metro-1[Terr](A)),blank(Sylhet Metro-1[Terr](A)),,,,Blank,Mr. Ataur Rahman,Sylhet Metro-1[Terr](A),Territory,12345,Sylhet Metro-1[Terr](A)@test.com,Sylhet Metro-1[Terr](A),,,,,
blank(Sylhet Metro-2[Terr](A)),blank(Sylhet Metro-2[Terr](A)),,,,Blank,Mr. Ataur Rahman,Sylhet Metro-2[Terr](A),Territory,12345,Sylhet Metro-2[Terr](A)@test.com,Sylhet Metro-2[Terr](A),,,,,
Nazmul Islam,Nazmul Islam,,,,TM-A,Mr. Ataur Rahman,Tuker Bazar[Terr](A),Territory,12345,Tuker Bazar[Terr](A)@test.com,Tuker Bazar[Terr](A),,,,,
Kawsar Hossain,Kawsar Hossain,,,,ZSO-A,Mr. Ataur Rahman,Jointapur[Terr](A),Territory,12345,Jointapur[Terr](A)@test.com,Jointapur[Terr](A),,,,,
 Mizanur Rahman, Mizanur Rahman,,,,TSO-A,Mr. Ataur Rahman,Chattak[Terr](A),Territory,12345,Chattak[Terr](A)@test.com,Chattak[Terr](A),,,,,
Monir Hossain,Monir Hossain,,,,ZSO-A,Mr. Ataur Rahman,Sunamgonj[Terr](A),Territory,12345,Sunamgonj[Terr](A)@test.com,Sunamgonj[Terr](A),,,,,
Hafizur Rahman(South Surma[Terr](A)),Hafizur Rahman,,,,TSO-A,Faruk Hossain,South Surma[Terr](A),Territory,12345,South Surma[Terr](A)@test.com,South Surma[Terr](A),,,,,
Shahin Hossain,Shahin Hossain,,,,TSO-A,Faruk Hossain,Biswanath[Terr](A),Territory,12345,Biswanath[Terr](A)@test.com,Biswanath[Terr](A),,,,,
Alauddin,Alauddin,,,,TM-A,Faruk Hossain,Biani Bazar[Terr](A),Territory,12345,Biani Bazar[Terr](A)@test.com,Biani Bazar[Terr](A),,,,,
Kamruzzaman khan,Kamruzzaman khan,,,,ZSO-A,Mirza Md. Shirajul Islam(Sreemangal[Reg](A)),Moulovibazar[Terr](A),Territory,12345,Moulovibazar[Terr](A)@test.com,Moulovibazar[Terr](A),,,,,
Amit Kumar Mollik,Amit Kumar Mollik,,,,TSO-A,Mirza Md. Shirajul Islam(Sreemangal[Reg](A)),Borolekha[Terr](A),Territory,12345,Borolekha[Terr](A)@test.com,Borolekha[Terr](A),,,,,
Ali Hossain,Ali Hossain,,,,ZSO-A,Mirza Md. Shirajul Islam(Sreemangal[Reg](A)),Hobigonj[Terr](A),Territory,12345,Hobigonj[Terr](A)@test.com,Hobigonj[Terr](A),,,,,
Khairul Bashar,Khairul Bashar,,,,ZSO-A,Mirza Md. Shirajul Islam(Sreemangal[Reg](A)),Nobigonj[Terr](A),Territory,12345,Nobigonj[Terr](A)@test.com,Nobigonj[Terr](A),,,,,
Mirza Md. Shirajul Islam(Shayestagonj[Terr](A)),Mirza Md. Shirajul Islam(Shayestagonj[Terr](A)),,,,RI-A,Mirza Md. Shirajul Islam(Sreemangal[Reg](A)),Shayestagonj[Terr](A),Territory,12345,Shayestagonj[Terr](A)@test.com,Shayestagonj[Terr](A),,,,,
Sonjoy Sarker,Sonjoy Sarker,,,,ZSO-A,Azhar Kamal Siddiqui,Rangpur[Terr](A),Territory,12345,Rangpur[Terr](A)@test.com,Rangpur[Terr](A),,,,,
Abdul Hai,Abdul Hai,,,,TSO-A,Azhar Kamal Siddiqui,Kurigram[Terr](A),Territory,12345,Kurigram[Terr](A)@test.com,Kurigram[Terr](A),,,,,
blank(Lalmonirhat[Terr](A)),blank(Lalmonirhat[Terr](A)),,,,Blank,Azhar Kamal Siddiqui,Lalmonirhat[Terr](A),Territory,12345,Lalmonirhat[Terr](A)@test.com,Lalmonirhat[Terr](A),,,,,
Sarforaz Newaz,Sarforaz Newaz,,,,ZSO-A,Azhar Kamal Siddiqui,Gaibanda[Terr](A),Territory,12345,Gaibanda[Terr](A)@test.com,Gaibanda[Terr](A),,,,,
blank(Dinajpur[Terr](A)),blank(Dinajpur[Terr](A)),,,,Blank,blank(Dinajpur[Reg](A)),Dinajpur[Terr](A),Territory,12345,Dinajpur[Terr](A)@test.com,Dinajpur[Terr](A),,,,,
blank(Soyedpur[Terr](A)),blank(Soyedpur[Terr](A)),,,,Blank,blank(Dinajpur[Reg](A)),Soyedpur[Terr](A),Territory,12345,Soyedpur[Terr](A)@test.com,Soyedpur[Terr](A),,,,,
blank(Thakurgaon[Terr](A)),blank(Thakurgaon[Terr](A)),,,,Blank,blank(Dinajpur[Reg](A)),Thakurgaon[Terr](A),Territory,12345,Thakurgaon[Terr](A)@test.com,Thakurgaon[Terr](A),,,,,
Mirza Nur Mohammed,Mirza Nur Mohammed,,,,TSO-A,Maruf Hossain(Bogra[Reg](A)),Bogra[Terr](A),Territory,12345,Bogra[Terr](A)@test.com,Bogra[Terr](A),,,,,
Sanwar Hossain,Sanwar Hossain,,,,TM-A,Maruf Hossain(Bogra[Reg](A)),Noagaon[Terr](A),Territory,12345,Noagaon[Terr](A)@test.com,Noagaon[Terr](A),,,,,
blank(Sirajgonj[Terr](A)),blank(Sirajgonj[Terr](A)),,,,Blank,Maruf Hossain(Bogra[Reg](A)),Sirajgonj[Terr](A),Territory,12345,Sirajgonj[Terr](A)@test.com,Sirajgonj[Terr](A),,,,,
Shahidun nabi,Shahidun nabi,,,,ZSO-A,Mr. Faizul Haque,Rajshahi[Terr](A),Territory,12345,Rajshahi[Terr](A)@test.com,Rajshahi[Terr](A),,,,,
Sazzad hossain Sarkar,Sazzad hossain Sarkar,,,,ZSO-A,Mr. Faizul Haque,Natore[Terr](A),Territory,12345,Natore[Terr](A)@test.com,Natore[Terr](A),,,,,
Abdul Alim,Abdul Alim,,,,ZSO-A,Mr. Faizul Haque,Pabna[Terr](A),Territory,12345,Pabna[Terr](A)@test.com,Pabna[Terr](A),,,,,
 Mofizur Rahman, Mofizur Rahman,,,,TSO-A,Ripon Baidya,Khulna[Terr](A),Territory,12345,Khulna[Terr](A)@test.com,Khulna[Terr](A),,,,,
Ariful Islam,Ariful Islam,,,,ZSO-A,Ripon Baidya,Bagerhat[Terr](A),Territory,12345,Bagerhat[Terr](A)@test.com,Bagerhat[Terr](A),,,,,
Abul Kalam Azad,Abul Kalam Azad,,,,ZSO-A,Ripon Baidya,Pirojpur[Terr](A),Territory,12345,Pirojpur[Terr](A)@test.com,Pirojpur[Terr](A),,,,,
Dananjoy Kumar ,Dananjoy Kumar ,,,,ZSO-A,Ripon Baidya,Satkhira[Terr](A),Territory,12345,Satkhira[Terr](A)@test.com,Satkhira[Terr](A),,,,,
blank(Jessore[Terr](A)),blank(Jessore[Terr](A)),,,,Blank,Bikash Kumar Das,Jessore[Terr](A),Territory,12345,Jessore[Terr](A)@test.com,Jessore[Terr](A),,,,,
M.A Razzak,M.A Razzak,,,,TSO-A,Bikash Kumar Das,Jhenaidah[Terr](A),Territory,12345,Jhenaidah[Terr](A)@test.com,Jhenaidah[Terr](A),,,,,
Anisur Rahman(Norail[Terr](A)),Anisur Rahman(Norail[Terr](A)),,,,ZSO-A,Bikash Kumar Das,Norail[Terr](A),Territory,12345,Norail[Terr](A)@test.com,Norail[Terr](A),,,,,
Akhteruzzaman,Akhteruzzaman,,,,TSO-A,Bikash Kumar Das,Kustia[Terr](A),Territory,12345,Kustia[Terr](A)@test.com,Kustia[Terr](A),,,,,
blank(Chuadanga[Terr](A)),blank(Chuadanga[Terr](A)),,,,Blank,Bikash Kumar Das,Chuadanga[Terr](A),Territory,12345,Chuadanga[Terr](A)@test.com,Chuadanga[Terr](A),,,,,
Maznu Mia,Maznu Mia,,,,TSO-A,Tariqul Islam(Barisal[Reg](A)),Barishal[Terr](A),Territory,12345,Barishal[Terr](A)@test.com,Barishal[Terr](A),,,,,
Humayun Kabir,Humayun Kabir,,,,TSO-A,Tariqul Islam(Barisal[Reg](A)),Bhola[Terr](A),Territory,12345,Bhola[Terr](A)@test.com,Bhola[Terr](A),,,,,
Moklesur Rahman,Moklesur Rahman,,,,TSO-A,Tariqul Islam(Barisal[Reg](A)),Jhalokathi[Terr](A),Territory,12345,Jhalokathi[Terr](A)@test.com,Jhalokathi[Terr](A),,,,,
Ziaul Haque,Ziaul Haque,,,,TSO-A,Tariqul Islam(Barisal[Reg](A)),Torki[Terr](A),Territory,12345,Torki[Terr](A)@test.com,Torki[Terr](A),,,,,
Menon Hawladar,Menon Hawladar,,,,TI-A,Asaduzzaman(Potuakhali[Reg](A)),Potuakhali[Terr](A),Territory,12345,Potuakhali[Terr](A)@test.com,Potuakhali[Terr](A),,,,,
Abu Taleb Mollik,Abu Taleb Mollik,,,,ZSO-A,Asaduzzaman(Potuakhali[Reg](A)),Borguna[Terr](A),Territory,12345,Borguna[Terr](A)@test.com,Borguna[Terr](A),,,,,
blank(Motbaria[Terr](A)),blank(Motbaria[Terr](A)),,,,Blank,Asaduzzaman(Potuakhali[Reg](A)),Motbaria[Terr](A),Territory,12345,Motbaria[Terr](A)@test.com,Motbaria[Terr](A),,,,,
Golam Sarowar,Golam Sarowar,,,,TM-A,Mr. Sugit Biswas,Faridpur[Terr](A),Territory,12345,Faridpur[Terr](A)@test.com,Faridpur[Terr](A),,,,,
Alamgir Hossain,Alamgir Hossain,,,,TSO-A,Mr. Sugit Biswas,Rajbari[Terr](A),Territory,12345,Rajbari[Terr](A)@test.com,Rajbari[Terr](A),,,,,
Alsafur Rahman,Alsafur Rahman,,,,ZSO-A,Mr. Sugit Biswas,Madaripur[Terr](A),Territory,12345,Madaripur[Terr](A)@test.com,Madaripur[Terr](A),,,,,
Selim Khan,Selim Khan,,,,ZSO-A,Mr. Sugit Biswas,Gopalgonj[Terr](A),Territory,12345,Gopalgonj[Terr](A)@test.com,Gopalgonj[Terr](A),,,,,
Zillur Rahman,Zillur Rahman,,,,ZSO-A,Mr. Sugit Biswas,Vhanga[Terr](A),Territory,12345,Vhanga[Terr](A)@test.com,Vhanga[Terr](A),,,,,
Shahid Ali Reza,Shahid Ali Reza,,,,HOS-B,Asif Iqbal,HOS-B,PL,12345,HOS-B@test.com,,,,,,
Md. Yeasin Mollah,Md. Yeasin Mollah,,,,Sr.Agm-B,Shahid Ali Reza,Sr.Agm-B,PL,12345,Sr.Agm-B@test.com,,,,,,
Blank(PL-B(Dhaka East)),Blank(PL-B(Dhaka East)),,,,Blank,Md. Yeasin Mollah,PL-B(Dhaka East),Wing,12345,PL-B(Dhaka East)@test.com,PL-B(Dhaka East),,,,,
Blank(PL-B(Dhaka West )),Blank(PL-B(Dhaka West )),,,,Blank,Md. Yeasin Mollah,PL-B(Dhaka West ),Wing,12345,PL-B(Dhaka West )@test.com,PL-B(Dhaka West ),,,,,
Mr. Ananda Mohan Nath(Ctg. Wing),Mr. Ananda Mohan Nath(Ctg. Wing),,,,Dy-Mgr-B,Md. Yeasin Mollah,PL-B(Ctg Wing),Wing,12345,PL-B(Ctg Wing)@test.com,PL-B(Ctg Wing),,,,,
Mr. Ananda Mohan Nath(Comilla),Mr. Ananda Mohan Nath(Comilla),,,,Dy-Mgr-B,Md. Yeasin Mollah,PL-B(Comilla),Wing,12345,PL-B(Comilla)@test.com,PL-B(Comilla),,,,,
Md. Alamgir,Md. Alamgir,,,,Dy-Mgr-B,Md. Yeasin Mollah,PL-B(Sylhet),Wing,12345,PL-B(Sylhet)@test.com,PL-B(Sylhet),,,,,
Mr. Khasru Zzaman Lanin,Mr. Khasru Zzaman Lanin,,,,DSM-B,Md. Yeasin Mollah,PL-B(North Bengal),Wing,12345,PL-B(North Bengal)@test.com,PL-B(North Bengal),,,,,
Blank(PL-B(South Bengal)),Blank(PL-B(South Bengal)),,,,Blank,Md. Yeasin Mollah,PL-B(South Bengal),Wing,12345,PL-B(South Bengal)@test.com,PL-B(South Bengal),,,,,
Md. Golam Nabi(Dhaka South[Div](B)),Md. Golam Nabi(Dhaka South[Div](B)),,,,A.Mgr-B,Blank(PL-B(Dhaka East)),Dhaka South[Div](B),Division,12345,Dhaka South[Div](B)@test.com,Dhaka South[Div](B),,,,,
Mr. Alamgir Hossain,Mr. Alamgir Hossain,,,,DSM-B,Blank(PL-B(Dhaka East)),Dhaka North[Div](B),Division,12345,Dhaka North[Div](B)@test.com,Dhaka North[Div](B),,,,,
Md. Mohiuddin Ahmad,Md. Mohiuddin Ahmad,,,,DSM-B,Blank(PL-B(Dhaka West )),Dhaka Metro[Div](B),Division,12345,Dhaka Metro[Div](B)@test.com,Dhaka Metro[Div](B),,,,,
Mr. Md. Sumon Khan,Mr. Md. Sumon Khan,,,,Act.DSM-B,Blank(PL-B(Dhaka West )),Gazipur[Div](B),Division,12345,Gazipur[Div](B)@test.com,Gazipur[Div](B),,,,,
Mr. A.K.M Fakhrul Alam(Ctg-2[Div](B)),Mr. A.K.M Fakhrul Alam(Ctg-2[Div](B)),,,,DSM-B,Mr. Ananda Mohan Nath(Ctg. Wing),Ctg-2[Div](B),Division,12345,Ctg-2[Div](B)@test.com,Ctg-2[Div](B),,,,,
Md. Golam Nabi(Narayangonj[Div](B)),Md. Golam Nabi(Narayangonj[Div](B)),,,,A.Mgr-B,Blank(PL-B(Dhaka East)),Narayangonj[Div](B),Division,12345,Narayangonj[Div](B)@test.com,Narayangonj[Div](B),,,,,
Md. Moniruzzaman,Md. Moniruzzaman,,,,DSM-B,Blank(PL-B(Dhaka West )),Mymensingh [Div](B),Division,12345,Mymensingh [Div](B)@test.com,Mymensingh [Div](B),,,,,
Mr. A.K.M Fakhrul Alam(Ctg-1[Div](B)),Mr. A.K.M Fakhrul Alam(Ctg-1[Div](B)),,,,DSM-B,Mr. Ananda Mohan Nath(Ctg. Wing),Ctg-1[Div](B),Division,12345,Ctg-1[Div](B)@test.com,Ctg-1[Div](B),,,,,
Md. Abdul Jabbar,Md. Abdul Jabbar,,,,DSM-B,Mr. Ananda Mohan Nath(Comilla),Noakhali[Div](B),Division,12345,Noakhali[Div](B)@test.com,Noakhali[Div](B),,,,,
Mr. Jalaluddin Ahmed,Mr. Jalaluddin Ahmed,,,,DSM-B,Mr. Ananda Mohan Nath(Comilla),Comilla[Div](B),Division,12345,Comilla[Div](B)@test.com,Comilla[Div](B),,,,,
Md. Mostafezur Rahman,Md. Mostafezur Rahman,,,,DSM-B,Md. Alamgir,Sylhet[Div](B),Division,12345,Sylhet[Div](B)@test.com,Sylhet[Div](B),,,,,
Blank(Rangpur[Div](B)),Blank(Rangpur[Div](B)),,,,Blank,Mr. Khasru Zzaman Lanin,Rangpur[Div](B),Division,12345,Rangpur[Div](B)@test.com,Rangpur[Div](B),,,,,
Blank(Bogra[Div](B)),Blank(Bogra[Div](B)),,,,Blank,Mr. Khasru Zzaman Lanin,Bogra[Div](B),Division,12345,Bogra[Div](B)@test.com,Bogra[Div](B),,,,,
Md. Fardous Wahid,Md. Fardous Wahid,,,,RM-B,Blank(PL-B(South Bengal)),Khulna[Div](B),Division,12345,Khulna[Div](B)@test.com,Khulna[Div](B),,,,,
Md. Mozibur Rahman,Md. Mozibur Rahman,,,,DSM-B,Blank(PL-B(South Bengal)),Barisal[Div](B),Division,12345,Barisal[Div](B)@test.com,Barisal[Div](B),,,,,
Blank(Khilgaon[Reg](B)),Blank(Khilgaon[Reg](B)),,,,Blank,Md. Golam Nabi(Dhaka South[Div](B)),Khilgaon[Reg](B),Region,12345,Khilgaon[Reg](B)@test.com,Khilgaon[Reg](B),,,,,
Dwijendra Nath Biswas,Dwijendra Nath Biswas,,,,RM-B,Mr. Alamgir Hossain,Gulshan[Reg](B),Region,12345,Gulshan[Reg](B)@test.com,Gulshan[Reg](B),,,,,
Mr. Md. Afsar Ali,Mr. Md. Afsar Ali,,,,RM-B,Mr. Alamgir Hossain,Uttara[Reg](B),Region,12345,Uttara[Reg](B)@test.com,Uttara[Reg](B),,,,,
Md. Saiful Islam Sikder(Mohammadpur[Reg](B)),Md. Saiful Islam Sikder(Mohammadpur[Reg](B)),,,,RI-B,Md. Mohiuddin Ahmad,Mohammadpur[Reg](B),Region,12345,Mohammadpur[Reg](B)@test.com,Mohammadpur[Reg](B),,,,,
Md. Manwarul Haque,Md. Manwarul Haque,,,,RI-B,Mr. Md. Sumon Khan,Savar[Reg](B),Region,12345,Savar[Reg](B)@test.com,Savar[Reg](B),,,,,
Md. Niamat Ali,Md. Niamat Ali,,,,RM-B,Mr. A.K.M Fakhrul Alam(Ctg-2[Div](B)),CTG-Metro[Reg](B),Region,12345,CTG-Metro[Reg](B)@test.com,CTG-Metro[Reg](B),,,,,
A.B.M. Zahid,A.B.M. Zahid,,,,RM-B,Md. Golam Nabi(Narayangonj[Div](B)),Narayangonj[Reg](B),Region,12345,Narayangonj[Reg](B)@test.com,Narayangonj[Reg](B),,,,,
Md. Nazrul Islam,Md. Nazrul Islam,,,,RM-B,Md. Golam Nabi(Narayangonj[Div](B)),Narshinghdi[Reg](B),Region,12345,Narshinghdi[Reg](B)@test.com,Narshinghdi[Reg](B),,,,,
Md Habibullah ,Md Habibullah ,,,,RM-B,Md. Golam Nabi(Dhaka South[Div](B)),Jatrabari[Reg](B),Region,12345,Jatrabari[Reg](B)@test.com,Jatrabari[Reg](B),,,,,
Md. Rafiqul Islam,Md. Rafiqul Islam,,,,TM-B,Md. Mohiuddin Ahmad,Mirpur[Reg](B),Region,12345,Mirpur[Reg](B)@test.com,Mirpur[Reg](B),,,,,
Md. Saiful Islam Sikder(Lalbag[Reg](B)),Md. Saiful Islam Sikder(Lalbag[Reg](B)),,,,RI-B,Md. Mohiuddin Ahmad,Lalbag[Reg](B),Region,12345,Lalbag[Reg](B)@test.com,Lalbag[Reg](B),,,,,
Mr. Md Aminul Islam,Mr. Md Aminul Islam,,,,RI-B,Mr. Md. Sumon Khan,Gazipur[Reg](B),Region,12345,Gazipur[Reg](B)@test.com,Gazipur[Reg](B),,,,,
Mr. Rafiqul Islam ,Mr. Rafiqul Islam ,,,,RM-B,Md. Moniruzzaman,Mymensingh[Reg](B),Region,12345,Mymensingh[Reg](B)@test.com,Mymensingh[Reg](B),,,,,
Md. Sabbir Ahmed,Md. Sabbir Ahmed,,,,RM-B,Md. Moniruzzaman,Tangail[Reg](B),Region,12345,Tangail[Reg](B)@test.com,Tangail[Reg](B),,,,,
Mr. Humaun Kabir,Mr. Humaun Kabir,,,,RM-B,Mr. A.K.M Fakhrul Alam(Ctg-1[Div](B)),Ctg-North[Reg](B),Region,12345,Ctg-North[Reg](B)@test.com,Ctg-North[Reg](B),,,,,
A.K.M Anisur Rahman(Potiya[Reg](B)),A.K.M Anisur Rahman(Potiya[Reg](B)),,,,RM-B,Mr. A.K.M Fakhrul Alam(Ctg-1[Div](B)),Potiya[Reg](B),Region,12345,Potiya[Reg](B)@test.com,Potiya[Reg](B),,,,,
A.K.M Anisur Rahman(Cox-Bazar[Reg](B)),A.K.M Anisur Rahman(Cox-Bazar[Reg](B)),,,,RM-B,Mr. A.K.M Fakhrul Alam(Ctg-1[Div](B)),Cox-Bazar[Reg](B),Region,12345,Cox-Bazar[Reg](B)@test.com,Cox-Bazar[Reg](B),,,,,
Mr. Rabiul Hossain,Mr. Rabiul Hossain,,,,RM-B,Mr. A.K.M Fakhrul Alam(Ctg-2[Div](B)),Hathazari[Reg](B),Region,12345,Hathazari[Reg](B)@test.com,Hathazari[Reg](B),,,,,
Blank(Direct Party[Reg](B)),Blank(Direct Party[Reg](B)),,,,Blank,Mr. A.K.M Fakhrul Alam(Ctg-2[Div](B)),Direct Party[Reg](B),Region,12345,Direct Party[Reg](B)@test.com,Direct Party[Reg](B),,,,,
Subi Nayak Aich Rony,Subi Nayak Aich Rony,,,,RI-B,Md. Abdul Jabbar,Noakhali[Reg](B),Region,12345,Noakhali[Reg](B)@test.com,Noakhali[Reg](B),,,,,
Shah Shakir Ahmed,Shah Shakir Ahmed,,,,RM-B,Md. Abdul Jabbar,Feni[Reg](B),Region,12345,Feni[Reg](B)@test.com,Feni[Reg](B),,,,,
Md. Mizanur Rahman,Md. Mizanur Rahman,,,,RI-B,Mr. Jalaluddin Ahmed,Comilla[Reg](B),Region,12345,Comilla[Reg](B)@test.com,Comilla[Reg](B),,,,,
Md. Omar Faruk,Md. Omar Faruk,,,,RM-B,Mr. Jalaluddin Ahmed,Chandpur[Reg](B),Region,12345,Chandpur[Reg](B)@test.com,Chandpur[Reg](B),,,,,
Mr. Md. Abu Jafor ,Mr. Md. Abu Jafor ,,,,RM-B,Mr. Jalaluddin Ahmed,B-Baria[Reg](B),Region,12345,B-Baria[Reg](B)@test.com,B-Baria[Reg](B),,,,,
Mr. Md.Yakub ,Mr. Md.Yakub ,,,,RM-B,Md. Mostafezur Rahman,Sylhet North[Reg](B),Region,12345,Sylhet North[Reg](B)@test.com,Sylhet North[Reg](B),,,,,
Mozaharul Hoque (Bahar),Mozaharul Hoque (Bahar),,,,RM-B,Md. Mostafezur Rahman,Sylhet South[Reg](B),Region,12345,Sylhet South[Reg](B)@test.com,Sylhet South[Reg](B),,,,,
Md. Nasir Uddin Mandal,Md. Nasir Uddin Mandal,,,,RM-B,Md. Mostafezur Rahman,Sreemangal[Reg](B),Region,12345,Sreemangal[Reg](B)@test.com,Sreemangal[Reg](B),,,,,
Md. Iqbal Kabir,Md. Iqbal Kabir,,,,RI-B,Blank(Rangpur[Div](B)),Rangpur[Reg](B),Region,12345,Rangpur[Reg](B)@test.com,Rangpur[Reg](B),,,,,
A.K.M Asadulla Azad,A.K.M Asadulla Azad,,,,RI-B,Blank(Rangpur[Div](B)),Dinajpur[Reg](B),Region,12345,Dinajpur[Reg](B)@test.com,Dinajpur[Reg](B),,,,,
S. M. Sohel,S. M. Sohel,,,,RI-B,Blank(Bogra[Div](B)),Bogra[Reg](B),Region,12345,Bogra[Reg](B)@test.com,Bogra[Reg](B),,,,,
Mr. Mukul Ali,Mr. Mukul Ali,,,,RM-B,Blank(Bogra[Div](B)),Rajshahi[Reg](B),Region,12345,Rajshahi[Reg](B)@test.com,Rajshahi[Reg](B),,,,,
Mr. Noor Nawaz Khan,Mr. Noor Nawaz Khan,,,,RI-B,Md. Fardous Wahid,Khulna[Reg](B),Region,12345,Khulna[Reg](B)@test.com,Khulna[Reg](B),,,,,
Mr. Md. Shamimul Islam Methu,Mr. Md. Shamimul Islam Methu,,,,RI-B,Md. Fardous Wahid,Jessore [Reg](B),Region,12345,Jessore [Reg](B)@test.com,Jessore [Reg](B),,,,,
Md. Abdul Malek(Barishal[Reg](B)),Md. Abdul Malek(Barishal[Reg](B)),,,,RI-B,Md. Mozibur Rahman,Barishal[Reg](B),Region,12345,Barishal[Reg](B)@test.com,Barishal[Reg](B),,,,,
Md. Abdul Malek(Patuakhali[Reg](B)),Md. Abdul Malek(Patuakhali[Reg](B)),,,,RI-B,Md. Mozibur Rahman,Patuakhali[Reg](B),Region,12345,Patuakhali[Reg](B)@test.com,Patuakhali[Reg](B),,,,,
Md. Abdus Salam,Md. Abdus Salam,,,,RM-B,Md. Mozibur Rahman,Faridpur[Reg](B),Region,12345,Faridpur[Reg](B)@test.com,Faridpur[Reg](B),,,,,
Md. Saiful Islam(Fakirapul[Terr](B)),Md. Saiful Islam(Fakirapul[Terr](B)),,,,TSO-B,Blank(Khilgaon[Reg](B)),Fakirapul_[Terr]_(B),Territory,12345,Fakirapul_[Terr]_(B)@test.com,Fakirapul_[Terr]_(B),,,,,
